language,basis,bin,n,bert_acc,dual_acc,dual_only,bert_only,both,neither
russian,label,0,77,0.7142857142857143,0.6883116883116883,9,11,44,13
russian,label,1,103,0.6213592233009708,0.7669902912621359,21,6,58,18
russian,edit_distance_norm,0,0,,,0,0,0,0
russian,edit_distance_norm,"(0,0.2]",35,0.8857142857142857,0.8857142857142857,1,1,30,3
russian,edit_distance_norm,"(0.2,0.4]",28,0.6428571428571429,0.75,5,2,16,5
russian,edit_distance_norm,"(0.4,0.6]",31,0.6129032258064516,0.7096774193548387,7,4,15,5
russian,edit_distance_norm,"(0.6,0.8]",41,0.5853658536585366,0.7560975609756098,10,3,21,7
russian,edit_distance_norm,"(0.8,1.0]",45,0.6,0.6,7,7,20,11
russian,char_jaccard,0,6,0.6666666666666666,0.5,0,1,3,2
russian,char_jaccard,"(0,0.2]",27,0.5555555555555556,0.7037037037037037,8,4,11,4
russian,char_jaccard,"(0.2,0.4]",57,0.543859649122807,0.6842105263157895,13,5,26,13
russian,char_jaccard,"(0.4,0.6]",27,0.7037037037037037,0.7037037037037037,4,4,15,4
russian,char_jaccard,"(0.6,0.8]",31,0.6774193548387096,0.7096774193548387,4,3,18,6
russian,char_jaccard,"(0.8,1.0]",32,0.90625,0.9375,1,0,29,2
russian,len_diff,0,23,0.5652173913043478,0.4782608695652174,3,5,8,7
russian,len_diff,1,45,0.5777777777777777,0.7555555555555555,12,4,22,7
russian,len_diff,2,63,0.7777777777777778,0.8571428571428571,8,3,46,6
russian,len_diff,3-5,39,0.5897435897435898,0.6666666666666666,7,4,19,9
russian,len_diff,6+,10,0.8,0.7,0,1,7,2
spanish,label,0,90,0.7222222222222222,0.6777777777777778,9,13,52,16
spanish,label,1,80,0.675,0.8125,17,6,48,9
spanish,edit_distance_norm,0,0,,,0,0,0,0
spanish,edit_distance_norm,"(0,0.2]",27,0.8888888888888888,0.8888888888888888,1,1,23,2
spanish,edit_distance_norm,"(0.2,0.4]",51,0.7058823529411765,0.7058823529411765,7,7,29,8
spanish,edit_distance_norm,"(0.4,0.6]",22,0.6363636363636364,0.7727272727272727,6,3,11,2
spanish,edit_distance_norm,"(0.6,0.8]",36,0.6666666666666666,0.6666666666666666,5,5,19,7
spanish,edit_distance_norm,"(0.8,1.0]",34,0.6176470588235294,0.7352941176470589,7,3,18,6
spanish,char_jaccard,0,2,0.5,1.0,1,0,1,0
spanish,char_jaccard,"(0,0.2]",23,0.5217391304347826,0.6086956521739131,4,2,10,7
spanish,char_jaccard,"(0.2,0.4]",41,0.7560975609756098,0.7804878048780488,6,5,26,4
spanish,char_jaccard,"(0.4,0.6]",30,0.6333333333333333,0.6333333333333333,5,5,14,6
spanish,char_jaccard,"(0.6,0.8]",41,0.6829268292682927,0.6829268292682927,6,6,22,7
spanish,char_jaccard,"(0.8,1.0]",33,0.8484848484848485,0.9393939393939394,4,1,27,1
spanish,len_diff,0,14,0.5714285714285714,0.6428571428571429,3,2,6,3
spanish,len_diff,1,30,0.7666666666666667,0.8333333333333334,4,2,21,3
spanish,len_diff,2,67,0.7611940298507462,0.8955223880597015,11,2,49,5
spanish,len_diff,3-5,48,0.6458333333333334,0.5416666666666666,5,10,21,12
spanish,len_diff,6+,11,0.5454545454545454,0.5454545454545454,3,3,3,2
portuguese,label,0,124,0.6854838709677419,0.6612903225806451,18,21,64,21
portuguese,label,1,144,0.5902777777777778,0.8402777777777778,47,11,74,12
portuguese,edit_distance_norm,0,0,,,0,0,0,0
portuguese,edit_distance_norm,"(0,0.2]",21,0.7619047619047619,0.7619047619047619,3,3,13,2
portuguese,edit_distance_norm,"(0.2,0.4]",38,0.631578947368421,0.7105263157894737,8,5,19,6
portuguese,edit_distance_norm,"(0.4,0.6]",47,0.6170212765957447,0.7446808510638298,12,6,23,6
portuguese,edit_distance_norm,"(0.6,0.8]",78,0.5897435897435898,0.7564102564102564,20,7,39,12
portuguese,edit_distance_norm,"(0.8,1.0]",84,0.6547619047619048,0.7857142857142857,22,11,44,7
portuguese,char_jaccard,0,13,0.6153846153846154,0.8461538461538461,4,1,7,1
portuguese,char_jaccard,"(0,0.2]",47,0.6595744680851063,0.7446808510638298,10,6,25,6
portuguese,char_jaccard,"(0.2,0.4]",98,0.6530612244897959,0.7959183673469388,24,10,54,10
portuguese,char_jaccard,"(0.4,0.6]",53,0.5283018867924528,0.6792452830188679,15,7,21,10
portuguese,char_jaccard,"(0.6,0.8]",33,0.6666666666666666,0.7878787878787878,8,4,18,3
portuguese,char_jaccard,"(0.8,1.0]",24,0.7083333333333334,0.7083333333333334,4,4,13,3
portuguese,len_diff,0,40,0.7,0.725,9,8,20,3
portuguese,len_diff,1,79,0.569620253164557,0.7468354430379747,22,8,37,12
portuguese,len_diff,2,71,0.6901408450704225,0.8169014084507042,17,8,41,5
portuguese,len_diff,3-5,66,0.6212121212121212,0.7272727272727273,14,7,34,11
portuguese,len_diff,6+,12,0.5833333333333334,0.75,3,1,6,2
german,label,0,155,0.7032258064516129,0.8451612903225807,31,9,100,15
german,label,1,157,0.5732484076433121,0.6815286624203821,40,23,67,27
german,edit_distance_norm,0,0,,,0,0,0,0
german,edit_distance_norm,"(0,0.2]",30,0.9,0.8,2,5,22,1
german,edit_distance_norm,"(0.2,0.4]",51,0.6666666666666666,0.6470588235294118,7,8,26,10
german,edit_distance_norm,"(0.4,0.6]",55,0.6,0.7818181818181819,15,5,28,7
german,edit_distance_norm,"(0.6,0.8]",72,0.6111111111111112,0.7916666666666666,20,7,37,8
german,edit_distance_norm,"(0.8,1.0]",104,0.5865384615384616,0.7788461538461539,27,7,54,16
german,char_jaccard,0,8,0.625,0.875,2,0,5,1
german,char_jaccard,"(0,0.2]",62,0.6129032258064516,0.7903225806451613,16,5,33,8
german,char_jaccard,"(0.2,0.4]",92,0.5978260869565217,0.8043478260869565,25,6,49,12
german,char_jaccard,"(0.4,0.6]",68,0.5735294117647058,0.75,18,6,33,11
german,char_jaccard,"(0.6,0.8]",50,0.74,0.72,7,8,29,6
german,char_jaccard,"(0.8,1.0]",32,0.78125,0.65625,3,7,18,4
german,len_diff,0,49,0.6326530612244898,0.6938775510204082,10,7,24,8
german,len_diff,1,84,0.6190476190476191,0.7380952380952381,16,6,46,16
german,len_diff,2,70,0.7142857142857143,0.7571428571428571,14,11,39,6
german,len_diff,3-5,75,0.5866666666666667,0.7866666666666666,22,7,37,9
german,len_diff,6+,34,0.6470588235294118,0.8823529411764706,9,1,21,3
